gene,spearman_rho,pvalue,padj,trend_significant
ENSG00000172828,0.03418837661046642,0.8351653949244664,0.9640637968395462,0
ENSG00000172830,-0.03208759676453895,0.8451723524229298,0.9660657562746696,0
ENSG00000172831,0.225408483896131,0.1593311278042533,0.6450615358756853,0
ENSG00000172840,-0.18938998481219732,0.2406964469191457,0.7170437744570834,0
ENSG00000172845,0.25753693298965463,0.10496996337588027,0.5737348726184898,0
ENSG00000172869,-0.012177179862693838,0.940949605061989,0.9880150319418598,0
ENSG00000172878,0.36453145726304514,0.01725603306983614,0.3026703360047276,0
ENSG00000172888,0.09375431367358775,0.5667745405574531,0.884852527039138,0
ENSG00000172889,-0.22655826053552697,0.15710056610627898,0.6432803363136872,0
ENSG00000172890,0.12464624022542833,0.44477611935091166,0.8374850756981385,0
ENSG00000172893,-0.17329392650034392,0.28448462345430725,0.750912092733595,0
ENSG00000172900,-0.20878718187288722,0.1940733164216999,0.6802773088037029,0
ENSG00000172901,-0.2424547708733569,0.1284727750314505,0.6126522495875386,0
ENSG00000172915,0.15019503762424258,0.3554430048929236,0.7944387530582356,0
ENSG00000172922,0.19468794395499112,0.22730017214781806,0.7073378923708294,0
ENSG00000172932,-0.08277972846096042,0.6133737322364159,0.902051020242727,0
ENSG00000172935,0.5075994519393079,0.00033888847841900827,0.050852201565550474,0
ENSG00000172936,0.3074540350520516,0.04937183727495009,0.44298690461993795,0
ENSG00000172939,-0.007996173901253893,0.9612058878362033,0.9923276313249951,0
ENSG00000172940,0.09961063256337872,0.5425666140344108,0.8761492769209557,0
ENSG00000172943,0.2291307238385721,0.15218934054300348,0.6387917076122844,0
ENSG00000172954,0.34333022921888234,0.026178356600643937,0.3508965998367128,0
ENSG00000172965,0.2689406430158428,0.08941728563944551,0.5475789122451975,0
ENSG00000172974,-0.03307853412439244,0.8404491166227115,0.9654762001087246,0
ENSG00000172977,0.20809903960324772,0.19561400787184224,0.6815832903272963,0
ENSG00000172985,0.23404365450481887,0.14311162912728959,0.630089774910118,0
ENSG00000172986,0.5009483753199204,0.00043028823960522544,0.05755277780217058,0
ENSG00000172992,0.20036457002482466,0.21350081528237697,0.6964113708715196,0
ENSG00000172995,-0.011817324388096373,0.9426918376487308,0.9882147238243923,0
ENSG00000173011,0.20784825885808322,0.1961775347385657,0.6818002254669955,0
ENSG00000173013,0.14516910195027088,0.3721338990242562,0.8045328659608313,0
ENSG00000173020,0.005016953240058207,0.9756544810537482,0.9951802567074594,0
ENSG00000173039,0.05519486606421227,0.7366824702973844,0.940576924302102,0
ENSG00000173040,0.2771358231592814,0.07934953025204017,0.5291942695996813,0
ENSG00000173041,0.13924159393471733,0.3923820100540225,0.8165620131018564,0
ENSG00000173064,-0.072745821980844,0.65728042102642,0.9138193558002173,0
ENSG00000173065,0.018502824419252977,0.9103734067012799,0.9812378857141956,0
ENSG00000173068,0.3270757458443851,0.0352634035269197,0.38988452208901186,0
ENSG00000173083,-0.03845667799397034,0.8149104448669282,0.9595542784632408,0
ENSG00000173085,0.29815099890999974,0.05743364736900558,0.470684923982165,0
ENSG00000173110,0.061150684714764945,0.7093996389468411,0.9315138761958967,0
ENSG00000173113,0.09793510804030292,0.5494439496563366,0.8785202370903464,0
ENSG00000173114,-0.018973235209572968,0.9081039346538164,0.9803308813953944,0
ENSG00000173120,0.05058761183725359,0.758000974641285,0.946354478458329,0
ENSG00000173137,0.23212159109011998,0.14661617937337557,0.6333563892440117,0
ENSG00000173141,0.2651280405298105,0.09441262754150559,0.5565516474353376,0
ENSG00000173145,0.151404678378644,0.35149186362102425,0.793039570553451,0
ENSG00000173153,-0.052895079978203426,0.7473017411040197,0.942919726911397,0
ENSG00000173156,0.4466002941138108,0.002396039769380298,0.12348634553130651,0
ENSG00000173157,-0.2296127335417467,0.1512812542943225,0.6379158546982685,0
ENSG00000173163,0.0496544723115546,0.7623399906253809,0.947371260445111,0
ENSG00000173166,0.09647671256022672,0.5554620360597899,0.8814798886898919,0
ENSG00000173171,0.10761085659602804,0.5102846538630894,0.864243669101114,0
ENSG00000173175,-0.05309608845728269,0.7463717926207798,0.9427851431386671,0
ENSG00000173193,0.45752973459919255,0.0017489566674235846,0.10598974488007176,0
ENSG00000173198,-0.1449837742875509,0.37275777815008304,0.804751739966938,0
ENSG00000173207,-0.0015691484446151626,0.9923844917197486,0.9988571142874866,0
ENSG00000173208,-0.19384188888725942,0.22940587819725144,0.7076335036877253,0
ENSG00000173209,-0.08179506907102312,0.617629507205381,0.9034795839270028,0
ENSG00000173210,0.14151988931330858,0.38452784862845757,0.8121093092877633,0
ENSG00000173212,-0.07530500558196676,0.645970773222629,0.9100580317243565,0
ENSG00000173214,0.3449329918187954,0.025395434146008533,0.3471595417802013,0
ENSG00000173218,0.18304206530006759,0.25740936370828704,0.7310923989407012,0
ENSG00000173221,-0.14807486321961494,0.36243020527093206,0.7974229674733069,0
ENSG00000173226,0.12162732323051322,0.4560518058263354,0.8436334418555064,0
ENSG00000173227,0.051130916100980195,0.7554778727264426,0.9456773646956893,0
ENSG00000173230,0.11074439540364052,0.4978978348744627,0.8609144884530056,0
ENSG00000173250,-0.12900387839488123,0.4287618944141167,0.8329022646807761,0
ENSG00000173253,0.2904559762221486,0.06483777604769969,0.49496870529415765,0
ENSG00000173258,-0.07535881846004099,0.6457337561388286,0.9099570836861657,0
ENSG00000173261,-0.12096837876360939,0.4585324709199621,0.8446206723036279,0
ENSG00000173262,0.2251017910446793,0.15992982778730713,0.645307790023905,0
ENSG00000173264,0.17695212157121967,0.274123613891619,0.7431584468520674,0
ENSG00000173267,-0.004912682004691934,0.9761603330221682,0.9951802567074594,0
ENSG00000173269,0.08195186473058419,0.616951028922565,0.9031361084217969,0
ENSG00000173272,0.12322891395892971,0.450051522253726,0.8408043527494917,0
ENSG00000173273,0.08905092001103318,0.5865541817217417,0.8927702302211528,0
ENSG00000173275,-0.01714559591306976,0.9169249919322455,0.9825110023309916,0
ENSG00000173276,0.10087187431761957,0.5374159230802316,0.8738794587121742,0
ENSG00000173281,-0.009303209133956623,0.9548704774742867,0.9905644208263719,0
ENSG00000173295,0.042752949840317515,0.7946369736167584,0.9547950809047253,0
ENSG00000173320,-0.1101639315629448,0.5001812276441182,0.8614829969854784,0
ENSG00000173327,0.11451889351012225,0.48317545875886436,0.8547411114277329,0
ENSG00000173334,0.08409048239946088,0.6077271087001792,0.8997158101151987,0
ENSG00000173338,-0.021892342733965203,0.8940369150359457,0.9772968871686327,0
ENSG00000173349,0.15426050120171225,0.34226589023205856,0.7878478231625482,0
ENSG00000173369,0.46775004193609376,0.00128605730521536,0.0919721901602126,0
ENSG00000173372,0.40190796469477347,0.007588951308265646,0.20813031811660124,0
ENSG00000173376,0.3441838962398266,0.025758979160653173,0.3493204993472255,0
ENSG00000173389,0.02986921827005513,0.855764434278592,0.967991987654385,0
ENSG00000173391,0.5201442618870655,0.0002118271645090708,0.043674544859902284,1
ENSG00000173402,0.30380234567312997,0.05242416425980778,0.45495125494400107,0
